,Unnamed: 0,mac,count,min_signal,max_signal,avg_signal,last_seen_signal,first_seen,last_seen,associated,node_mac,Unnamed: 11
1472,1472,00:71:c2:19:b4:f5,14.0,-80.0,-64.0,-71.0,-76.0,1583042240,1583042261.0,0.0,AC:86:74:73:BC:08,
1473,1473,90:2b:d2:a1:b8:50,1.0,-90.0,-90.0,-90.0,-90.0,1583042255,1583042255.0,0.0,AC:86:74:73:BC:08,
1474,1474,d8:97:ba:42:71:3e,5.0,-90.0,-88.0,-88.0,-88.0,1583042240,1583042258.0,0.0,AC:86:74:73:BC:08,
1475,1475,00:71:c2:19:b4:f5,19.0,-76.0,-53.0,-62.0,-69.0,1583042250,1583042271.0,0.0,AC:86:74:92:C5:58,
1476,1476,a0:10:81:6b:29:15,2.0,-91.0,-89.0,-90.0,-89.0,1583042249,1583042249.0,0.0,AC:86:74:92:C5:58,
1477,1477,00:71:c2:19:b4:f5,19.0,-81.0,-66.0,-72.0,-81.0,1583042271,1583042290.0,0.0,AC:86:74:73:BC:08,
1478,1478,d8:97:ba:42:71:3e,4.0,-89.0,-88.0,-88.0,-89.0,1583042269,1583042291.0,0.0,AC:86:74:73:BC:08,
1479,1479,ec:aa:a0:1c:03:dd,1.0,-92.0,-92.0,-92.0,-92.0,1583042282,1583042282.0,0.0,AC:86:74:73:BC:08,
1480,1480,00:71:c2:19:b4:f5,20.0,-76.0,-53.0,-62.0,-76.0,1583042281,1583042300.0,0.0,AC:86:74:92:C5:58,
1481,1481,00:71:c2:19:b4:f5,10.0,-79.0,-65.0,-69.0,-72.0,1583042300,1583042321.0,0.0,AC:86:74:73:BC:08,
1482,1482,d8:97:ba:42:71:3e,4.0,-90.0,-88.0,-89.0,-90.0,1583042302,1583042324.0,0.0,AC:86:74:73:BC:08,
1483,1483,00:71:c2:19:b4:f5,19.0,-72.0,-53.0,-61.0,-70.0,1583042310,1583042331.0,0.0,AC:86:74:92:C5:58,
1484,1484,e4:e0:a6:16:54:f6,2.0,-92.0,-90.0,-91.0,-92.0,1583042335,1583042335.0,0.0,AC:86:74:92:C5:58,
1485,1485,00:71:c2:19:b4:f5,14.0,-82.0,-64.0,-70.0,-69.0,1583042330,1583042352.0,0.0,AC:86:74:73:BC:08,
